"LCSC Part Number","Manufacture Part Number","Manufacturer","Package","Customer #","Description","RoHS","Order Qty.","Min\Mult Order Qty.","Unit Price","Order Price","Product Link"
"C470643","RK10J11E0034","ALPSALPINE","Plugin","","20V ±30% 30mW 10kΩ Plugin  Variable Resistors/Potentiometers ROHS","yes","4","1","0.7827","3.13","https://assets.lcsc.com/images/lcsc/96x96/20200603_ALPSALPINE-RK10J11E0034_C470643_front.jpg"
"C424664","FH35C-45S-0.3SHW(50)","HRS(Hirose)","SMD,P=0.3mm","","Clamshell 45 Double-sided contacts/up and down connection Surface Mount 0.3mm SMD,P=0.3mm  FFC/FPC Connectors ROHS","yes","4","1","0.3357","1.34","https://assets.lcsc.com/images/lcsc/96x96/20190921_HRS-Hirose-FH35C-45S-0-3SHW-50_C424664_front.jpg"
"C105578","RC0603FR-071ML","YAGEO","0603","","100mW 75V ±1% ±100ppm/℃ -55℃~+155℃ 1MΩ 0603  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0016","0.16","https://assets.lcsc.com/images/lcsc/96x96/20181107_YAGEO-RC0603FR-071ML_C105578_front.jpg"
"C136596","RS-03K10R0FT","FH(Guangdong Fenghua Advanced Tech)","0603","","100mW 50V ±1% ±100ppm/℃ -55℃~+155℃ 10Ω 0603  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0012","0.12","https://assets.lcsc.com/images/lcsc/96x96/20180914_FH-Guangdong-Fenghua-Advanced-Tech-RS-03K10R0FT_C136596_front.jpg"
"C174301","RS-03K22R0FT","FH(Guangdong Fenghua Advanced Tech)","0603","","100mW 50V ±1% ±100ppm/℃ -55℃~+155℃ 22Ω 0603  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0012","0.12","https://assets.lcsc.com/images/lcsc/96x96/20180914_FH-Guangdong-Fenghua-Advanced-Tech-RS-03K22R0FT_C174301_front.jpg"
"C132374","WR06X1003FTL","Walsin Tech Corp","0603","","100mW 75V ±1% ±100ppm/℃ -55℃~+155℃ 100kΩ 0603  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0013","0.13","https://assets.lcsc.com/images/lcsc/96x96/20180914_Walsin-Tech-Corp-WR06X1003FTL_C132374_front.jpg"
"C304759","RS-03K4992FT","FH(Guangdong Fenghua Advanced Tech)","0603","","100mW 50V ±1% ±100ppm/℃ -55℃~+155℃ 49.9kΩ 0603  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0011","0.11","https://assets.lcsc.com/images/lcsc/96x96/20181007_FH-Guangdong-Fenghua-Advanced-Tech-RS-03K4992FT_C304759_front.jpg"
"C25185","0603WAF160JT5E","UNI-ROYAL(Uniroyal Elec)","0603","","100mW Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 16Ω 0603  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0012","0.12","https://assets.lcsc.com/images/lcsc/96x96/20220601_UNI-ROYAL-Uniroyal-Elec-0603WAF160JT5E_C25185_front.jpg"
"C103514","RTT033001FTP","RALEC","0603","","100mW Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 3kΩ 0603  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0012","0.12","https://assets.lcsc.com/images/lcsc/96x96/20180914_RALEC-RTT033001FTP_C103514_front.jpg"
"C136592","RS-03K3003FT","FH(Guangdong Fenghua Advanced Tech)","0603","","100mW 50V ±1% ±100ppm/℃ -55℃~+155℃ 300kΩ 0603  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0011","0.11","https://assets.lcsc.com/images/lcsc/96x96/20180914_FH-Guangdong-Fenghua-Advanced-Tech-RS-03K3003FT_C136592_front.jpg"
"C23179","0603WAF4700T5E","UNI-ROYAL(Uniroyal Elec)","0603","","100mW Thick Film Resistors 75V ±1% ±100ppm/℃ -55℃~+155℃ 470Ω 0603  Chip Resistor - Surface Mount ROHS","yes","100","100","0.0012","0.12","https://assets.lcsc.com/images/lcsc/96x96/20220601_UNI-ROYAL-Uniroyal-Elec-0603WAF4700T5E_C23179_front.jpg"
